date,cases_china,cases_hk,cases_macau,cases_taipei,cases_china_ex,deaths_china,deaths_hk,deaths_macau,deaths_taipei,deaths_china_ex,cases_evdefender,deaths_evdefender
21-Jan,278,0,0,0,278,6,0,0,0,6,291,6
22-Jan,309,0,0,1,308,6,0,0,0,6,440,9
23-Jan,571,1,1,1,568,17,0,0,0,17,571,17
24-Jan,830,2,2,1,825,25,0,0,0,25,830,25
25-Jan,1297,5,2,3,1287,41,0,0,0,41,1287,41
26-Jan,1985,5,2,3,1975,56,0,0,0,56,1975,56
27-Jan,2761,8,5,4,2744,80,0,0,0,80,2744,80
28-Jan,4537,8,7,7,4515,106,0,0,0,106,4515,106
29-Jan,5997,8,7,8,5974,132,0,0,0,132,5974,132
30-Jan,7736,10,7,8,7711,170,0,0,0,170,7711,170
31-Jan,9720,12,7,9,9692,213,0,0,0,213,9692,213
1-Feb,11821,13,7,10,11791,259,0,0,0,259,11791,259
2-Feb,14411,14,7,10,14380,304,0,0,0,304,14380,304
3-Feb,17238,15,8,10,17205,361,0,0,0,361,17069,354
4-Feb,20471,15,8,10,20438,425,0,0,0,425,20047,406
5-Feb,24363,18,10,11,24324,491,1,0,0,490,23279,460
6-Feb,28060,21,10,11,28018,564,1,0,0,563,26764,517
7-Feb,31211,24,10,16,31161,637,1,0,0,636,30503,576
8-Feb,34598,26,10,16,34546,723,1,0,0,722,,
9-Feb,37251,26,10,17,37198,812,1,0,0,811,,
10-Feb,40235,36,10,18,40171,909,1,0,0,908,,
11-Feb,42708,42,10,18,42638,1017,1,0,0,1016,,
12-Feb,44730,49,10,18,44653,1114,1,0,0,1113,,
13-Feb,46550,50,10,18,46472,1368,1,0,0,1367,,
14-Feb,48548,53,10,18,48467,1381,1,0,0,1380,,
15-Feb,50054,56,10,18,49970,1524,1,0,0,1523,,
16-Feb,51174,56,10,18,51090,1666,1,0,0,1665,,
